WTeam,LTeam,WLoc
Cleveland Cavaliers,New York Knicks,H
Golden State Warriors,San Antonio Spurs,V
Portland Trail Blazers,Utah Jazz,H
Boston Celtics,Brooklyn Nets,H
Indiana Pacers,Dallas Mavericks,H
Los Angeles Lakers,Houston Rockets,H
Memphis Grizzlies,Minnesota Timberwolves,H
Milwaukee Bucks,Charlotte Hornets,V
New Orleans Pelicans,Denver Nuggets,V
Orlando Magic,Miami Heat,V
Philadelphia 76ers,Oklahoma City Thunder,V
Phoenix Suns,Sacramento Kings,V
Toronto Raptors,Detroit Pistons,H
Atlanta Hawks,Washington Wizards,H
Chicago Bulls,Boston Celtics,H
Portland Trail Blazers,Los Angeles Clippers,V
Sacramento Kings,San Antonio Spurs,V
Brooklyn Nets,Indiana Pacers,H
Dallas Mavericks,Houston Rockets,V
Detroit Pistons,Orlando Magic,H
Miami Heat,Charlotte Hornets,V
New Orleans Pelicans,Golden State Warriors,V
Oklahoma City Thunder,Phoenix Suns,H
Toronto Raptors,Cleveland Cavaliers,V
Utah Jazz,Los Angeles Lakers,H
Chicago Bulls,Indiana Pacers,H
Charlotte Hornets,Boston Celtics,V
Cleveland Cavaliers,Orlando Magic,H
Denver Nuggets,Portland Trail Blazers,V
Milwaukee Bucks,Brooklyn Nets,H
New York Knicks,Memphis Grizzlies,H
Philadelphia 76ers,Atlanta Hawks,V
Sacramento Kings,Minnesota Timberwolves,H
San Antonio Spurs,New Orleans Pelicans,H
Detroit Pistons,Milwaukee Bucks,H
Houston Rockets,Dallas Mavericks,H
Los Angeles Clippers,Utah Jazz,H
Memphis Grizzlies,Washington Wizards,H
Miami Heat,San Antonio Spurs,V
Oklahoma City Thunder,Los Angeles Lakers,H
Phoenix Suns,Golden State Warriors,V
Atlanta Hawks,Sacramento Kings,H
Brooklyn Nets,Chicago Bulls,V
Los Angeles Clippers,Phoenix Suns,H
Toronto Raptors,Denver Nuggets,H
Cleveland Cavaliers,Houston Rockets,H
Detroit Pistons,New York Knicks,H
Indiana Pacers,Los Angeles Lakers,H
Miami Heat,Sacramento Kings,H
Minnesota Timberwolves,Memphis Grizzlies,H
New Orleans Pelicans,Milwaukee Bucks,V
Philadelphia 76ers,Orlando Magic,V
Portland Trail Blazers,Golden State Warriors,V
San Antonio Spurs,Utah Jazz,V
Atlanta Hawks,Los Angeles Lakers,V
Boston Celtics,Chicago Bulls,H
Brooklyn Nets,Detroit Pistons,H
Charlotte Hornets,Philadelphia 76ers,H
Los Angeles Clippers,Oklahoma City Thunder,V
Memphis Grizzlies,New Orleans Pelicans,H
New York Knicks,Houston Rockets,V
Phoenix Suns,Portland Trail Blazers,H
Utah Jazz,Dallas Mavericks,H
Washington Wizards,Toronto Raptors,V
Cleveland Cavaliers,Boston Celtics,H
Golden State Warriors,Oklahoma City Thunder,H
Milwaukee Bucks,Indiana Pacers,H
Minnesota Timberwolves,Denver Nuggets,V
Orlando Magic,Sacramento Kings,H
Brooklyn Nets,Charlotte Hornets,V
Chicago Bulls,New York Knicks,V
Dallas Mavericks,Portland Trail Blazers,V
Los Angeles Lakers,Golden State Warriors,H
Memphis Grizzlies,Los Angeles Clippers,V
New Orleans Pelicans,Phoenix Suns,V
Toronto Raptors,Miami Heat,H
Utah Jazz,San Antonio Spurs,V
Washington Wizards,Atlanta Hawks,H
Atlanta Hawks,Houston Rockets,H
Detroit Pistons,Denver Nuggets,H
Indiana Pacers,Chicago Bulls,H
Milwaukee Bucks,Sacramento Kings,H
Oklahoma City Thunder,Minnesota Timberwolves,H
Orlando Magic,Washington Wizards,H
Philadelphia 76ers,Cleveland Cavaliers,V
San Antonio Spurs,Los Angeles Clippers,V
Boston Celtics,Denver Nuggets,V
Dallas Mavericks,Milwaukee Bucks,H
Los Angeles Lakers,Phoenix Suns,H
Memphis Grizzlies,Portland Trail Blazers,V
New York Knicks,Utah Jazz,V
Toronto Raptors,Sacramento Kings,V
Chicago Bulls,Orlando Magic,H
Charlotte Hornets,Indiana Pacers,H
